pair,count,mean,std,median,min,max
Binary–Assembly,600,2.785842257224903,0.13562715887623378,2.7789662499508188,2.4837500973124267,3.1993617489245523
Binary–Source,600,2.7520642642112554,0.12482711394661038,2.7221974989444226,2.4617252633228013,3.1750026843013077
Assembly–Source,600,2.878421730862725,0.1565326105574004,2.883071597809573,2.5478765444508844,3.34360038929194
