representation,count,mean,std,median,min,max
Binary,600,2.791801732001387,0.21571674954734998,2.7036479197178727,2.4828102856739056,3.405704507111318
Assembly,600,2.989205698590393,0.2370221233350457,3.0539169589482733,2.536721005521105,3.486027717512184
Source,600,3.0881382688576164,0.19309132826622816,3.1678927280320077,2.514986660135962,3.412253667597485
