sample_id,representation,bertscore_precision,bertscore_recall,bertscore_f1
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,Binary,0.8601146359999999,0.8661386280000001,0.863100644
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,Assembly,0.858688162,0.87817252,0.868237612
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,Source,0.87227835,0.8875359359999999,0.8798196600000001
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,Binary,0.867658398,0.8915193,0.879371952
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,Assembly,0.8760614499999999,0.925227838,0.899798168
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,Source,0.8519205639999999,0.905941018,0.8769755700000001
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,Binary,0.8783009700000001,0.908412358,0.8930057899999999
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,Assembly,0.862518114,0.8925746520000001,0.87727335
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,Source,0.878448622,0.905873768,0.891944872
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,Binary,0.8630087679999999,0.8817633600000001,0.8722544539999999
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,Assembly,0.865231966,0.886390128,0.8756529799999999
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,Source,0.884801628,0.9193610879999999,0.901703594
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,Binary,0.879136456,0.8942553,0.886570412
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,Assembly,0.8941174220000001,0.9117377619999999,0.902826228
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,Source,0.8664555500000001,0.904198592,0.884916052
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,Binary,0.844465692,0.842576494,0.84351212
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,Assembly,0.8344518900000001,0.853668456,0.8439330679999999
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,Source,0.862966818,0.8793020199999999,0.871053792
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,Binary,0.8477507,0.844276578,0.84599957
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,Assembly,0.85818195,0.864922834,0.861519852
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,Source,0.8721751799999999,0.899221332,0.8854573200000001
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,Binary,0.830485844,0.85652824,0.84329389
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,Assembly,0.849016664,0.924337368,0.884929904
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,Source,0.8671205000000001,0.930370234,0.897614666
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,Binary,0.84535684,0.8340311719999999,0.8395629
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,Assembly,0.852791772,0.8517895020000001,0.8522669199999999
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,Source,0.883682826,0.8859904220000001,0.884832948
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,Binary,0.87750007,0.883680904,0.880445192
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,Assembly,0.87320502,0.9113911339999999,0.89187077
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,Source,0.86089453,0.902120798,0.8809959340000001
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,Binary,0.834845174,0.845215252,0.839985248
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,Assembly,0.85717961,0.863728566,0.860429366
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,Source,0.8705215239999999,0.890823666,0.8805527599999999
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,Binary,0.8648094580000001,0.870634312,0.867541572
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,Assembly,0.8764077180000001,0.8919427040000001,0.884062892
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,Source,0.878046208,0.8972752180000001,0.887476618
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,Binary,0.837807156,0.842041086,0.8398419300000001
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,Assembly,0.8642330460000001,0.877830616,0.87090434
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,Source,0.8572702879999999,0.893882842,0.875189772
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,Binary,0.867241288,0.8746002,0.870861258
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,Assembly,0.865070072,0.88878111,0.8767559119999999
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,Source,0.9041862719999999,0.9339079480000001,0.9187954140000001
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,Binary,0.8127904100000001,0.830605316,0.8214915059999999
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,Assembly,0.828441746,0.84958738,0.8388182839999999
