sample_id,rep_a,rep_b,pair,sentence_transformer_cosine,rouge_l_f1
9db3633b471a10d7e5706b7c8f821d0ef48a00cb45186686cb3e7ff1cb7aa5e6,binary,assembly,Binary–Assembly,0.47856850624084474,0.15078867492660597
9db3633b471a10d7e5706b7c8f821d0ef48a00cb45186686cb3e7ff1cb7aa5e6,binary,source,Binary–Source,0.33496094346046446,0.14530612244897959
9db3633b471a10d7e5706b7c8f821d0ef48a00cb45186686cb3e7ff1cb7aa5e6,assembly,source,Assembly–Source,0.5631058931350708,0.2368797953964194
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,binary,assembly,Binary–Assembly,0.5423223614692688,0.2283348183641813
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,binary,source,Binary–Source,0.37441618740558624,0.21927119294207903
097894a73604809055828923572780a018c3a5a6d642b8eb85559bc30210589d,assembly,source,Assembly–Source,0.4838053822517395,0.24518971160717956
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,binary,assembly,Binary–Assembly,0.4570972442626953,0.21899543016438877
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,binary,source,Binary–Source,0.4632279634475708,0.1786374839790989
0ab159a1d1234022e6d2078a4e57108be0b18904af07d4f3423e2622a1dd21b0,assembly,source,Assembly–Source,0.566243839263916,0.22166199813258639
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,binary,assembly,Binary–Assembly,0.4622352659702301,0.185095808851777
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,binary,source,Binary–Source,0.39791789650917053,0.20703987198031273
9059e1e3d2b8116a33793593f26b1933d228b71337441a86ec332dd45f8b35b4,assembly,source,Assembly–Source,0.5377071619033813,0.23094883312545567
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,binary,assembly,Binary–Assembly,0.5532409608364105,0.2690569349357729
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,binary,source,Binary–Source,0.40748838484287264,0.18368935623977914
e1fc9287afefd64312ac7ae7b13359d55267c034d06a04d26ac5baceb2cc95b0,assembly,source,Assembly–Source,0.49957815408706663,0.21327923857715128
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,binary,assembly,Binary–Assembly,0.6432559609413147,0.30795706195624806
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,binary,source,Binary–Source,0.5470069527626038,0.25330210842736384
b378a38e3ecf27f56e191628428184fbfd84c2a12c5a84468c7d9b390e058deb,assembly,source,Assembly–Source,0.687677013874054,0.2509381965552178
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,binary,assembly,Binary–Assembly,0.488054621219635,0.2909296062123474
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,binary,source,Binary–Source,0.21180176138877868,0.1977985687059804
4525c9784877e5da748ed8a04e06f0bde9d3b24b788b26893c706e631c30189f,assembly,source,Assembly–Source,0.39243186712265016,0.2308517797991482
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,binary,assembly,Binary–Assembly,0.4254595458507538,0.2197874768281082
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,binary,source,Binary–Source,0.19722044467926025,0.14626168412632962
9e149d4a40ffd17c6bcd873a5d901ba773c45c08ca1cad87ce318a9b95d700ba,assembly,source,Assembly–Source,0.41611790657043457,0.21042329826426562
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,binary,assembly,Binary–Assembly,0.33714295625686647,0.14355259345117358
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,binary,source,Binary–Source,0.2120494306087494,0.1543907895587
f9339226107526e9791b40f426aefe52e31b56849ea38a5e3703ca982f667c45,assembly,source,Assembly–Source,0.7733437538146972,0.4158449047605674
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,binary,assembly,Binary–Assembly,0.5203398585319519,0.2342817424690633
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,binary,source,Binary–Source,0.37414202094078064,0.1980620966335252
cc204d6d1143cf09c3e4dab245efbcb685e8082aa7ab4af067af2dabffd59107,assembly,source,Assembly–Source,0.5322719693183899,0.23799446082372913
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,binary,assembly,Binary–Assembly,0.38784794211387635,0.2694830659536542
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,binary,source,Binary–Source,0.23724693357944487,0.1885577787019495
d1ce8167d10361fb70589c977872ef1e734cdcde464377901bb3fb27ce654cd9,assembly,source,Assembly–Source,0.5441866457462311,0.27694482291052525
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,binary,assembly,Binary–Assembly,0.44893807768821714,0.2541160693333214
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,binary,source,Binary–Source,0.31232682168483733,0.1588544302729696
c807a8962782e72f11a4bfc0051b52945a383476cac4962b4ca5e4e6cecd4079,assembly,source,Assembly–Source,0.48326570987701417,0.18937294877593383
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,binary,assembly,Binary–Assembly,0.5401634216308594,0.2274439908632245
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,binary,source,Binary–Source,0.39293005168437956,0.18325740743362842
5c3d80221057fdaf05a7857ca0983409a08d381a8164b5c59aa7999b613ea2f6,assembly,source,Assembly–Source,0.5813220500946045,0.22089858082721997
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,binary,assembly,Binary–Assembly,0.23603060245513915,0.23749898437456043
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,binary,source,Binary–Source,0.20677421391010284,0.18887420852594983
08bc8364e599bafe7558b95a2e0ca097434c39b31705fb71b0d41b708fd65d4c,assembly,source,Assembly–Source,0.7122058033943176,0.2438202143600518
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,binary,assembly,Binary–Assembly,0.509899914264679,0.2625783543672896
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,binary,source,Binary–Source,0.4482846826314926,0.258874354827228
1775a00afc13c8fa7b2230aa3155e65634c292ed0e455d8802998d9324bf8a2c,assembly,source,Assembly–Source,0.6036259829998016,0.2720240015481341
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,binary,assembly,Binary–Assembly,0.4908072054386139,0.2609196327506187
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,binary,source,Binary–Source,0.2785969257354736,0.16189342915149368
5539b2a9461367b278b5d9a2ee41aa7a752d8a9b8bb1f858ed0b8a4fc5ed921b,assembly,source,Assembly–Source,0.49432223439216616,0.16108555227641377
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,binary,assembly,Binary–Assembly,0.5229379832744598,0.2862309015034119
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,binary,source,Binary–Source,0.2804571598768234,0.15106344037852384
9ceca417976a5e89121b8e3a1de8856656d767d0254e2857913a1de96eb41873,assembly,source,Assembly–Source,0.5142508745193481,0.19755984622603223
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,binary,assembly,Binary–Assembly,0.6996309280395507,0.26546524606798577
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,binary,source,Binary–Source,0.54270259141922,0.22790012236847684
d1bcf1826ec72119a863d106b6ecc71a728435056fceb6292d4433231833ae7b,assembly,source,Assembly–Source,0.7551485896110535,0.33430697875865434
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,binary,assembly,Binary–Assembly,0.42454763054847716,0.2357941841594168
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,binary,source,Binary–Source,0.44632278084754945,0.23367762327961333
33dbd994eab2bf1be6b33eeaff27f6bb41dd82fde7c7dcf08005c0f21bf540ca,assembly,source,Assembly–Source,0.4918225765228271,0.33069511100984067
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,binary,assembly,Binary–Assembly,0.4878916323184967,0.20808969055979376
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,binary,source,Binary–Source,0.46210457384586334,0.20052688611179176
db81f14ad6a6ee1762861868ddd5b87214ffe1872699d06714f485c7218e16d1,assembly,source,Assembly–Source,0.549217963218689,0.1681745969966262
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,binary,assembly,Binary–Assembly,0.44692511558532716,0.22050994756877107
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,binary,source,Binary–Source,0.24616498351097107,0.16969716051208417
7711adfcdfa3afb6d589d9f51b87c3d8ce2ade1d822c8cfc1d2d0e991f86909f,assembly,source,Assembly–Source,0.6507392883300781,0.1985023423518265
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,binary,assembly,Binary–Assembly,0.5340835690498352,0.29224280481423337
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,binary,source,Binary–Source,0.49068546295166016,0.20450742492709292
7c7342e751d5cc7d4165d0f9c11f17ce85edd053905ccd1c07a49ec68266a460,assembly,source,Assembly–Source,0.5408309400081635,0.2045226129100058
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,binary,assembly,Binary–Assembly,0.6775456309318543,0.28801581401920007
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,binary,source,Binary–Source,0.4356506645679474,0.19951495759393262
7e1dc9df577a4e7eb04759c3e872af3974a5daa59b3160ca067d2452ffe9a3ae,assembly,source,Assembly–Source,0.5576284348964691,0.2702001639466428
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,binary,assembly,Binary–Assembly,0.6388404726982116,0.2447743127743128
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,binary,source,Binary–Source,0.5588985443115234,0.19094471420052814
a5dc1c46fb2ae5bc02945636b5cea7164dfe1a9deb4560a1373e3576094c72f3,assembly,source,Assembly–Source,0.6298906803131104,0.21289070906998786
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,binary,assembly,Binary–Assembly,0.2829430490732193,0.20834191270036304
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,binary,source,Binary–Source,0.299821075797081,0.22497842165583698
c79960bea2b10342926bf39e9430387219695cdf35c0d15c1c4b3186aa0ccb75,assembly,source,Assembly–Source,0.6942111134529114,0.2870580808080808
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,binary,assembly,Binary–Assembly,0.592187476158142,0.2662698412698413
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,binary,source,Binary–Source,0.49844215512275697,0.23766086519956486
e9e7c83a09dede25b789dbac4b45141f2515a29e51c6a36f74f1ed973b393035,assembly,source,Assembly–Source,0.49919849038124087,0.22366305916305915
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,binary,assembly,Binary–Assembly,0.6660679757595063,0.29759795368291664
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,binary,source,Binary–Source,0.4897811055183411,0.17559625296947812
5fc7b99e16d8dea4af3f4c3423acc5e0f422e714e7b5ea0733d3c20a6d8ff901,assembly,source,Assembly–Source,0.6365190982818604,0.20962603288184684
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,binary,assembly,Binary–Assembly,0.30865665674209597,0.19336653410879012
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,binary,source,Binary–Source,0.32240846157073977,0.18076237161531278
98fa188b83b59a2022b5bce5e501a131323b47676ee840d5460e1638768270d3,assembly,source,Assembly–Source,0.7161786794662476,0.33705029928472274
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,binary,assembly,Binary–Assembly,0.3278095185756683,0.2328399248905503
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,binary,source,Binary–Source,0.2320833273231983,0.21365374331550804
6976c8db6bc1c2e960ecefdb505ac04c43b8f5f3d29073515b5aae33472e785f,assembly,source,Assembly–Source,0.6182648539543152,0.3896458674949664
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,binary,assembly,Binary–Assembly,0.5414715886116028,0.259724820895404
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,binary,source,Binary–Source,0.40650793313980105,0.18511267321979435
e75a32a311b139742170b62e69c1a32d22f93d36a802b5a70dc04dc7b5532f8f,assembly,source,Assembly–Source,0.5427603363990784,0.2768582577417774
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,binary,assembly,Binary–Assembly,0.535980486869812,0.22706094809089925
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,binary,source,Binary–Source,0.44762131571769714,0.1900926084768636
85f290cf7e9cce459ae991f37c90a91c687af07380836c4885a482b4640e1670,assembly,source,Assembly–Source,0.5911010921001434,0.2730913690596545
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,binary,assembly,Binary–Assembly,0.6221737325191498,0.26659180615702355
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,binary,source,Binary–Source,0.5015302658081054,0.258882099620824
e0856b58ccea0d0d9b4ecf71f0ea04968fbebe65eccf34a193f21c3421a5dd86,assembly,source,Assembly–Source,0.6905811548233032,0.24833859651013657
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,binary,assembly,Binary–Assembly,0.5372983098030091,0.29869838661818154
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,binary,source,Binary–Source,0.44729459285736084,0.21241187693840624
b3e5ca408b5ccb3d5be5be4f75c38fe3548e849e2f7e7bb23815391b75544e95,assembly,source,Assembly–Source,0.6108278632164001,0.23197721559905293
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,binary,assembly,Binary–Assembly,0.45293950438499453,0.28408115573801024
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,binary,source,Binary–Source,0.307416170835495,0.1725200458190149
dd6e1c77326e651e231094233e7cfd882fdd78e2ab7614a721b673da72629d80,assembly,source,Assembly–Source,0.4212197422981262,0.23147719000771913
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,binary,assembly,Binary–Assembly,0.5977348804473877,0.30340977053333923
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,binary,source,Binary–Source,0.43620858192443845,0.17919784258457025
4c57e45337a6a3602c1df297fabff6d9bb6a6a2d70998ecd1f04c5fc22f1b98d,assembly,source,Assembly–Source,0.6104793548583984,0.27246442741325144
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,binary,assembly,Binary–Assembly,0.4775195062160492,0.24371497686193058
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,binary,source,Binary–Source,0.2847597777843475,0.16481560846813922
cec2558f8fc68854951713b3527f72969d5fa28f5216ce00361d4e3fb2697eee,assembly,source,Assembly–Source,0.4459367483854294,0.21880542455301938
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,binary,assembly,Binary–Assembly,0.533160275220871,0.25134702394976366
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,binary,source,Binary–Source,0.40775913596153257,0.18655424391167363
f5f5badebe6f1ca5ee71a19a9c439708198e25521c9f93ae402e9aacd2b0ead4,assembly,source,Assembly–Source,0.556681364774704,0.28287302480382
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,binary,assembly,Binary–Assembly,0.3895099937915802,0.23172985158681883
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,binary,source,Binary–Source,0.2907994270324707,0.19764959122841047
5e6afd9d840a03379408a89df025dbfcd9ca55cabc3cc65186ac8615aba99e90,assembly,source,Assembly–Source,0.6624584794044495,0.26697672091114716
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,binary,assembly,Binary–Assembly,0.5312419176101685,0.2306505813027552
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,binary,source,Binary–Source,0.328393018245697,0.16421160569110207
36ffd16f00ef170630810ef13bcb113fdbb88aa577515003f7276962726c1cd4,assembly,source,Assembly–Source,0.627976369857788,0.24063659498615037
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,binary,assembly,Binary–Assembly,0.6966570615768433,0.24834724893973653
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,binary,source,Binary–Source,0.5572698295116425,0.23626993640328972
647cba8f0e920f015d824a57e598fd8d1d3dc57608feb8292296d7d00c1cae1e,assembly,source,Assembly–Source,0.5643640279769897,0.21659072348704464
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,binary,assembly,Binary–Assembly,0.4980054676532745,0.2949257346847708
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,binary,source,Binary–Source,0.41532187461853026,0.19400591715314214
de321f553741bbc52c60d40e137a1eca2aecc3fba574515dc324d68e42b40edb,assembly,source,Assembly–Source,0.6587928295135498,0.24915417742210044
