representation,bertscore_precision_count,bertscore_precision_mean,bertscore_precision_std,bertscore_precision_median,bertscore_precision_min,bertscore_precision_max,bertscore_recall_count,bertscore_recall_mean,bertscore_recall_std,bertscore_recall_median,bertscore_recall_min,bertscore_recall_max,bertscore_f1_count,bertscore_f1_mean,bertscore_f1_std,bertscore_f1_median,bertscore_f1_min,bertscore_f1_max
Binary,5000,0.8474129734184,0.01719472798046579,0.845801575,0.7837537960000001,0.913372682,5000,0.8629669014492,0.021254867871464155,0.861444162,0.776610864,0.919178008,5000,0.8550182780528001,0.018087772607663172,0.85288187,0.7968318200000001,0.9122910879999999
Assembly,5000,0.8557429065796,0.019387315288163984,0.8558474229999999,0.767899012,0.9461285939999999,5000,0.883053196374,0.021620753357462434,0.884002524,0.7711771319999999,0.961951966,5000,0.8690689874096,0.018950312878680535,0.869629097,0.787315636,0.953919234
Source,5000,0.8647614281456001,0.01908663514321577,0.863746629,0.792410602,0.95286636,5000,0.8971538207628,0.019777057466309794,0.897477607,0.8162549739999999,0.96622158,5000,0.8805628923972001,0.017859433299801945,0.8803460820000001,0.82131767,0.951616048
