pair,sentence_transformer_cosine_count,sentence_transformer_cosine_mean,sentence_transformer_cosine_std,sentence_transformer_cosine_median,sentence_transformer_cosine_min,sentence_transformer_cosine_max,rouge_l_f1_count,rouge_l_f1_mean,rouge_l_f1_std,rouge_l_f1_median,rouge_l_f1_min,rouge_l_f1_max
Binary–Assembly,5000,0.48149552187651395,0.09884398706474774,0.4796999305486679,0.17527805939316748,0.8008038401603699,5000,0.2404190688886247,0.04824586868569072,0.23478687223194333,0.10717330792853304,0.6299661163145808
Binary–Source,5000,0.37393432054203,0.09355797747795418,0.3729218006134033,0.07205876559019089,0.7069702863693237,5000,0.19236646563008383,0.03470196496015741,0.18982228413735264,0.08267593587142459,0.3724598143642329
Assembly–Source,5000,0.5618898471515625,0.1135617722466782,0.5676556795835495,0.164282388985157,0.9142974257469177,5000,0.24368233677182874,0.05747543832274733,0.23597643044349792,0.09116172330518085,0.6376190476190476
