representation,count,mean,std,min,median,max,mean_rank
binary,5000.0,0.8550182780528001,0.018087772607663182,0.7968318200000001,0.85288187,0.912291088,1.2196
assembly,5000.0,0.8690689874095998,0.01895031287868055,0.787315636,0.869629097,0.953919234,2.092
source,5000.0,0.8805628923971999,0.017859433299801917,0.82131767,0.8803460820000001,0.951616048,2.6884
